title,genres,user_rating,keywords,director,adult,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,Unknown,War,Western
Freddy vs. Jason,['Horror'],0.6065,"new jersey, sadism, psychopath, woods, murder, marijuana, slaughter, serial killer, slasher, series of murders, bad dream, supernatural horror",Ronny Yu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Trapped 13: How We Survived The Thai Cave,['Documentary'],0.6331000000000001,thai,Pailin Wedel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Real Young Girl,['Drama'],0.54,"puberty, first time, france, parent child relationship, love at first sight, eroticism, women's sexual identity, provocation, precocity, girls' boarding school, teenage crush, woman director",Catherine Breillat,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbie in the 12 Dancing Princesses,"['Animation', 'Family']",0.76,"princess, dance, sibling relationship, ballet, based on toy, sister sister relationship",Greg Richardson,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pretty Baby,['Drama'],0.7000000000000001,"virgin, prostitute, photographer, photography, brothel, new orleans, louisiana, loss of virginity, young prostitute, brothel madam, 1910s, child prostitution, demeaning, disheartening, distressing, inflammatory",Louis Malle,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Big George Foreman,"['History', 'Drama']",0.7541000000000001,"adultery, sports, 1970s, texas, biography, family, 1980s, 1960s, boxing",George Tillman Jr.,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sully,"['Drama', 'History']",0.7200000000000001,"rescue, new york city, airplane, investigation, pilot, biography, based on true story, emergency landing, flight, travel, aviation, airplane accident, based on memoir or autobiography, hudson river, dramatic",Clint Eastwood,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Love Story,"['Romance', 'Drama']",0.6809000000000001,"based on novel or book, harvard university, college, cancer, tragic love, class differences, string ensemble, telephone box, lapsed catholic, trying to get pregnant, snow angel, rich man poor woman, domineering, witty, depressing, romantic, authoritarian, condescending, disheartening",Arthur Hiller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Sea Beast,"['Animation', 'Adventure', 'Action', 'Family', 'Fantasy']",0.7354,"ship, orphan, sea monster, 17th century",Chris Williams,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Five Friends,"['Adventure', 'Comedy', 'Horror']",0.65,"joke, mountain, haunting, climbing, ghost, podcaster, myth, terror, podcast, basecamp",Bayu Skak,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Goonies,"['Adventure', 'Comedy', 'Family']",0.7515000000000001,"gang of thieves, treasure map, oregon, usa, gunfight, childhood friends, booby trap, water slide, foreclosure, walking the plank, lost treasure, social outcast, pirate ship, henchmen",Richard Donner,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seven Samurai,"['Action', 'Drama']",0.8500000000000001,"epic, martial arts, japan, samurai, sword, peasant, village, looting, rice, fencing, moral ambiguity, battle, bandit, practice, jidaigeki, 16th century",Akira Kurosawa,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Face/Off,"['Action', 'Crime', 'Science Fiction']",0.7039,"prison, biological weapon, prisoner, bomb, undercover, psychopath, fbi, mexican standoff, face transplant, prison escape, flashback, revenge, tragedy, organized crime, shootout, boat chase, los angeles, california, doctor, disguise, vendetta, surgery, criminal gang, golden gun, archvillain, mysterious, bullet ballet, archenemy, brother brother relationship, siblings, maximum security prison, fbi agent, intimate, excited",John Woo,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spectre,"['Action', 'Adventure', 'Thriller']",0.655,"based on novel or book, spy, secret agent, sequel, mi6, british secret service, united kingdom",Sam Mendes,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spy,"['Action', 'Comedy', 'Crime']",0.68,"central intelligence agency (cia), budapest, hungary, paris, france, undercover agent, rome, italy, spy, arms dealer, bulgaria, disaster, nuclear bomb, female spy, heiress, bumbling, aftercreditsstinger, duringcreditsstinger, analyst, spycraft, beauty vs brains, handler, special assignment",Paul Feig,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
What Happens in Vegas,"['Comedy', 'Romance']",0.61,"hotel, casino, roommate, romantic comedy, rivalry, wedding, las vegas, drinking, opposites attract, aftercreditsstinger, marriage counselling, accidental marriage, vegas wedding, credits cookie",Tom Vaughan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Final Destination,"['Horror', 'Mystery']",0.5599999999999999,"dying and death, plan, car race, gore, stock car racing, car crash, premonition, vision",David R. Ellis,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Hansel & Gretel: Witch Hunters,"['Fantasy', 'Horror', 'Action']",0.6062000000000001,"witch, gun, black magic, troll, steampunk, witchcraft, evil, witch hunt, evil witch, duringcreditsstinger, nude swimming",Tommy Wirkola,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
My Mother's Lovers,['Drama'],0.37000000000000005,"lovers, lgbt, lgbt teen, mother son relationship, gay theme, short film",Samuel Montes de Oca León,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Insidious,"['Horror', 'Thriller']",0.6947000000000001,"medium, evil spirit, house warming, aftercreditsstinger, insidious, supernatural power, distressing",James Wan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Nurse on a Military Tour,['Comedy'],0.47000000000000003,"army, beach, nurse, boat, head injury, priest, nudism, doctor, soldier, police station, policeman, military, blow up doll, sex comedy, nude beach, sunbathing, naturism",Nando Cicero,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alienoid: Return to the Future,"['Science Fiction', 'Action', 'Fantasy', 'Adventure']",0.66,"time warp, alien, time slip",Choi Dong-hoon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Hitch,"['Comedy', 'Drama', 'Romance']",0.6565000000000001,"romantic comedy, speed date, dating, romantic",Andy Tennant,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Die Hard: With a Vengeance,"['Action', 'Thriller']",0.7271000000000001,"new york city, taxi, gold, helicopter, robbery, police, bomb, riddle, detective, fbi, sequel, flashback, revenge, shootout, explosion, nypd, cargo ship, wild goose chase, simon says, dump truck, harlem, new york city, aqueduct, bomb threat, action hero, deadly game, federal reserve bank, nyc subway",John McTiernan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hulk,"['Science Fiction', 'Adventure', 'Action']",0.5599999999999999,"california, monster, general, mutation, san francisco, california, gun, superhero, dna, transformation, psychology, berkeley, based on comic, president, golden gate bridge, doctor, fear, scientist, dog, desert, anger, phone, military, super villain, cell, superhuman strength, repressed memory, repression, good versus evil",Ang Lee,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tomorrowland,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",0.6279,"inventor, apocalypse, destiny, dreamer, futuristic car, futuristic city",Brad Bird,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
The Vault,"['Drama', 'Action', 'Thriller']",0.68,"madrid, spain, world cup, heist, bank vault, treasure hunter, treasure heist",Jaume Balagueró,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Minority Report,"['Science Fiction', 'Action', 'Thriller']",0.73,"washington dc, usa, police chief, precognition, hologram, futuristic, murder, conspiracy, police chase, drugs, biting, home video, based on short story, ex-husband ex-wife relationship, mentor protégé relationship, tech noir, stasis, prevention, missing son, future noir, loss of child, surveillance state, psychic vision, conspiracy thriller, 2050s, suspenseful, intense, authoritarian",Steven Spielberg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Comedy', 'War']",0.81,"usa president, general, cold war, strategic air command, dark comedy, nuclear missile, satire, black and white, war room, bomber pilot, nuclear weapons, ex-nazi, anti war, doomsday device, absurdism, grand, hilarious",Stanley Kubrick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Firebrand,"['Drama', 'History', 'Thriller']",0.6400000000000001,Unknown,Karim Aïnouz,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Big Trouble in Little China,"['Action', 'Comedy', 'Fantasy']",0.7200000000000001,"martial arts, kung fu, magic, san francisco, california, kidnapping, chinatown, mercenary, mythology, truck driver, adventurer, 1980s, fantasy",John Carpenter,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Looper,"['Action', 'Thriller', 'Science Fiction']",0.6887,"future, suicide, assassin, dystopia, drug addiction, time travel, retirement, tragedy, murder, organized crime, execution, criminal, contract killer, neo-noir, 2040s, suspenseful",Rian Johnson,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Central Intelligence,"['Action', 'Comedy', 'Crime', 'Mystery']",0.6400000000000001,"central intelligence agency (cia), espionage, spy, office, school, high school reunion, accountant, matter of fact",Rawson Marshall Thurber,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mr. & Mrs. Smith,"['Action', 'Comedy', 'Drama', 'Thriller']",0.6688000000000001,"assassin, bomb, hitman, marriage crisis, gun, secret identity, married couple, assault rifle, marriage, decoy, secret agent, dysfunctional marriage, gunfight, bullet wound, excited, ridiculous",Doug Liman,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
God of Pain,"['Horror', 'Science Fiction', 'Thriller']",0.7000000000000001,"confession, hallucination, death sentence, injection, purgatory, another dimension, convicted murderer, wrongly condemned, judgement, police violence",JD Allen,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
The Empire Strikes Back,"['Adventure', 'Action', 'Science Fiction']",0.8392,"rebellion, android, spacecraft, asteroid, rebel, space battle, snowstorm, space colony, swamp, space opera, nostalgic, artic",Irvin Kershner,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Last Stop in Yuma County,"['Crime', 'Thriller']",0.71,"sheriff, waitress, gas station, arizona, diner, salesman, rest stop, hostage situation, neo-noir, independent film, bank robbers",Francis Galluppi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Blackhat,"['Crime', 'Thriller', 'Action']",0.5488000000000001,"race against time, computer, hacker, computer virus, technology, anti hero, nuclear power plant, national security agency (nsa), malaysia, betrayal, fugitive, on the run, conspiracy, shootout, hacking, terrorism, cat and mouse, one against many, terrorist plot, stock exchange, cybercrime, cyber terrorism, chinese military, cyber thriller",Michael Mann,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Mother's Embrace,"['Horror', 'Drama']",0.6200000000000001,Unknown,Cristian Ponce,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Santa Clause 2,"['Fantasy', 'Comedy', 'Family']",0.5950000000000001,"magic, holiday, home, christmas party, son, santa claus, wish, saving christmas, sequel, christmas, parent teacher romance",Michael Lembeck,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Straight Outta Compton,"['Drama', 'Music', 'History']",0.7789,"drug dealer, police brutality, husband wife relationship, rap music, hip-hop, sibling relationship, aids, parent child relationship, gangster, rapper, ghetto, nightclub, assault, freedom of speech, protest, vandalism, recording contract, rags to riches, based on true story, terminal illness, road trip, feud, marijuana, gang, police chase, hospital, racism, los angeles, california, detroit, michigan, racial slur, wrongful arrest, death of brother, milwaukee wisconsin, police raid, police harassment, duringcreditsstinger, record company, music tour, 1980s, intimidation by police, los angeles riots, compton, california",F. Gary Gray,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
White Bird,"['Drama', 'War', 'History']",0.7907000000000001,"france, nazi, holocaust (shoah), world war ii, private school, bullying, hitler youth, coming of age, german occupation of france, kindness, based on graphic novel, jewish girl, jewish refugee, 1940s, nazi propaganda, grandmother grandson relationship, interfaith",Marc Forster,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Idiocracy,"['Comedy', 'Science Fiction', 'Adventure']",0.6344000000000001,"future, army, prostitute, usa president, congress, experiment, arena, capitalism, dark comedy, hibernation, stupidity, junk food, social satire, brainwashing, surveillance, masturbation, u.s. congress, mass media, aftercreditsstinger, commercialism, anti-intellectualism",Mike Judge,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Good Boy,"['Horror', 'Thriller']",0.65,dog,Viljar Bøe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Monolith,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']",0.5987,"journalist, alien conspiracy, podcast",Matt Vesely,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
The Invisible Guest,"['Drama', 'Mystery', 'Thriller']",0.81,"barcelona, spain, businessman, falsely accused, manipulative lover, unreliable narrator, uncover truth, grieving father, accused of murder, mountain resort, locked room mystery",Oriol Paulo,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
My Sister's Keeper,['Drama'],0.7400000000000001,"sibling relationship, court case, parent child relationship, in vitro fertilisation, medical examiner, kidney transplant , cancer, chemotherapy",Nick Cassavetes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Run Hide Fight,"['Action', 'Crime', 'Thriller']",0.674,"high school, hero, war veteran, killing, murder, shootout, explosion, school shooting, disturbed teenager",Kyle Rankin,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Deep Throat Part II,"['Comedy', 'Science Fiction']",0.4,"nurse, spy, sequel, erotic movie, russian spy, american spy",Joseph W. Sarno,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Snoopy Presents: Welcome Home, Franklin","['Animation', 'Family']",0.77,"friendship, short film",Raymond S. Persi,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Casper's Haunted Christmas,"['Animation', 'Family', 'Fantasy']",0.5385,"holiday, assistant, cartoon, tricks, surrealism, look-alike, kindness, ruler, scare, task",Owen Hurley,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Anastasia,"['Animation', 'Family', 'Fantasy', 'Adventure']",0.7616,"nightmare, czar / tsar / tzar, musical, sorcerer, russian revolution (1917), train explosion, 1920s, villain song, amused",Don Bluth,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Texas Chainsaw 3D,"['Horror', 'Thriller']",0.55,"home, gore, sequel, leatherface, slasher, chainsaw, shattered home, violent death, bloody fight, blood lust, aftercreditsstinger, duringcreditsstinger, góry, sawing, hewitt",John Luessenhop,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Muppet Christmas Carol,"['Music', 'Comedy', 'Family', 'Fantasy', 'Drama']",0.7400000000000001,"future, london, england, based on novel or book, holiday, redemption, musical, puppet, past, puppetry, lost love, ghost, christmas music, christmas, 19th century, victorian era, christmas eve, christmas carols, christmas dinner",Brian Henson,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Ex Machina,"['Drama', 'Science Fiction']",0.7571,"android, dancing, friendship, man vs machine, distrust, artificial intelligence (a.i.), isolation, technology, manipulation, deception, norway, laboratory, robot, power outage, surveillance camera, consciousness, existentialism, lockdown, disturbed, philosophical, female cyborg, human android relationship, scathing",Alex Garland,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A View to a Kill,"['Adventure', 'Action', 'Thriller']",0.6228,"london, england, helicopter, fire, drug abuse, france, paris, france, england, san francisco, california, horse race, secret identity, fire engine, villain, earthquake, ascot, silicon valley, zeppelin, snowboarding, microchip, doping, racehorse, flooding, snow, golden gate bridge, terrorism, british secret service, snow skiing, eiffel tower, paris, firefighter",John Glen,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ninja Assassin,"['Action', 'Adventure', 'Thriller']",0.67,"martial arts, assassin, assassination, ninja fighter, gore, stick fighting, sensei, revenge, ninja, bloody fight, chop socky, ninjutsu, kusarigama",James McTeigue,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jason Bourne,"['Action', 'Thriller']",0.6400000000000001,"assassin, central intelligence agency (cia), amnesia, casino, chase, greece, flashback, hacking, las vegas, black ops, rogue agent, armored vehicle, reykjavík, iceland, hdd",Paul Greengrass,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alexander,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",0.5939,"epic, egypt, elephant, aristotle, persia, greece, emperor, campaign, alexander the great, sword fight, royalty, male homosexuality, ancient world, lgbt, ancient greece, epic battle, historical drama, action hero, 4th century bc, gay theme",Oliver Stone,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
Rush Hour 3,"['Action', 'Comedy', 'Crime']",0.65,"martial arts, ambassador, los angeles, california, interracial friendship, buddy cop, action hero",Brett Ratner,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact,"['Drama', 'Science Fiction', 'Mystery']",0.7428,"based on novel or book, nasa, extraterrestrial technology, new mexico, prime number, radio wave, wormhole, fanatic, spirituality, religion, scientist, sabotage, ham radio, astronomy, alien contact, mechanical engineering, observatory, philosophical, eccentric man, radio telescope, wonder, introspective, inspirational, defiant",Robert Zemeckis,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Am I OK?,"['Comedy', 'Romance', 'Drama']",0.6464000000000001,"coming out, friendship, female friendship, lgbt, woman director, reflective, lesbian, relaxed",Tig Notaro,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
My Hero Academia: Heroes Rising,"['Animation', 'Action', 'Fantasy', 'Adventure']",0.8168,"japan, hero, superhero, fighting, super power, adult animation, shounen, anime",Kenji Nagasaki,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shrek 5,"['Animation', 'Family', 'Comedy', 'Fantasy']",0.0,"fairy tale, sequel, animation",Walt Dohrn,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Memento,"['Mystery', 'Thriller']",0.82,"drug dealer, amnesia, insulin, tattoo, waitress, insurance salesman, motel, manipulation, flashback, confusion, revenge, murder, memory loss, psychological thriller, whodunit, los angeles, california, polaroid, based on short story, nonlinear timeline, individuality, phone call, neo-noir, reverse chronology",Christopher Nolan,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
The Shallows,"['Horror', 'Drama', 'Thriller']",0.63,"surfer, island, beach, mexico, animal attack, survival, creature, young woman, shark, great white shark, trapped, animal horror, prey",Jaume Collet-Serra,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Troll,"['Fantasy', 'Action', 'Adventure']",0.6613000000000001,"mountain, mythical creature, creature, oslo, norway, monster movie, norwegian folklore",Roar Uthaug,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A Fish Called Wanda,"['Comedy', 'Crime']",0.7200000000000001,"infidelity, robbery, cheating, heart attack, heist, lawyer, silencer, courtroom, american abroad, animal abuse, stuttering, yelling, killing a dog, cutical scissors, run over by a steamroller, gag, excuse, barrel, zoophilia, screwball, heathrow airport, stolen jewelry",Charles Crichton,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush Hour 2,"['Action', 'Comedy', 'Crime']",0.6744,"martial arts, los angeles, california, criminal investigation, interracial friendship, buddy cop, duringcreditsstinger, action hero, good versus evil",Brett Ratner,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Never Back Down: No Surrender,"['Drama', 'Action']",0.7000000000000001,"martial arts, sports, fight, training, champion",Michael Jai White,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CODA,"['Drama', 'Music', 'Romance']",0.7936000000000001,"parent child relationship, music teacher, fishing, deaf, massachusetts, coming of age, remake, singing, family, first love, disability, based on movie, woman director, sign languages, school choir, music school, calm, asl, loving, teenager, appreciative",Siân Heder,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
La Leyenda de los Chaneques,"['Animation', 'Comedy', 'Family', 'Horror']",0.8382999999999999,Unknown,Marvick Núñez,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Kalki 2898-AD,"['Drama', 'Action', 'Fantasy', 'Science Fiction']",0.6400000000000001,"rebellion, temple, dystopia, villain, desert, religious statue, futuristic society, quest, imperialism, heroes, kalki, ancient temple, indian folklore, evil empire, fantasy, indian gods, mahabharat",Nag Ashwin,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
The Assistant,['Drama'],0.6279,"movie business, corporate world, employer employee relationship, personal assistant, woman director, abuse of power, metoo, workplace culture, depressing, ambiguous, bold, foreboding",Kitty Green,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Haunted Mansion,"['Comedy', 'Drama', 'Horror', 'Fantasy']",0.6467,"magic, haunted house, grief, ghost, taunting, horror comedy, haunted mansion, based on theme park ride, absurd, incredulous, ridiculous, sardonic",Justin Simien,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Little Eggs: A Frozen Rescue,"['Animation', 'Adventure', 'Comedy', 'Family']",0.77,Unknown,Rodolfo Riva Palacio Alatriste,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Purple Hearts,"['Romance', 'Drama']",0.8119000000000001,military life,Elizabeth Allen Rosenbaum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Marie Antoinette,"['Drama', 'History']",0.67,"infidelity, arranged marriage, french revolution, marie antoinette, versailles, period drama, theatre audience, louis xvi, bride and groom, death of king, applause, woman director, zealous, lyrical, playful, casual, grand, intimate, dramatic, sentimental, romantic, whimsical, celebratory, compassionate, complicated, earnest, euphoric, excited, exuberant, sincere, wry",Sofia Coppola,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Return of the Jedi,"['Adventure', 'Action', 'Science Fiction']",0.7898000000000001,"spacecraft, sibling relationship, rebel, emperor, space battle, matter of life and death, forest, desert, space opera, nostalgic",Richard Marquand,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nurse 3-D,"['Horror', 'Thriller']",0.53,"nurse, dark comedy, sexual murder, revenge, lesbian relationship, sexploitation, hospital",Douglas Aarniokoski,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Art of Racing in the Rain,"['Drama', 'Romance']",0.82,"friendship, washington dc, usa, based on novel or book, car race, sports, reincarnation, race car driver, dog, animals, pets, father daughter relationship, animal narrator",Simon Curtis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Torture Club,"['Drama', 'Comedy']",0.52,"bondage, lesbian relationship, torture, based on manga, teenage sexuality, bdsm, lesbian, girls love",Kōta Yoshida,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sex Plate 17,"['Comedy', 'Drama', 'Romance']",0.6200000000000001,sex,Song Eun-joo,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Ask Me Anything,['Drama'],0.5630000000000001,"based on novel or book, college, blog, teenage sexuality, dark secret",Allison Burnett,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blade: Trinity,"['Action', 'Horror', 'Science Fiction']",0.5900000000000001,"martial arts, loss of loved one, vampire, fbi, superhero, supernatural, fistfight, based on comic, vampire hunter (slayer), martial arts master, motorcycle, katana sword, blade, super villain, urban gothic, good versus evil, sarcastic",David S. Goyer,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Insidious: Chapter 2,"['Horror', 'Thriller']",0.67,"haunted house, possession, demon, family, ghost, bride in black, insidious, suspenseful, intense, sinister",James Wan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
The Witch: Part 1. The Subversion,"['Action', 'Mystery', 'Science Fiction']",0.78,"witch, amnesia, supernatural, psychological thriller, audition, hidden identity, supernatural power, dark, extreme violence",Park Hoon-jung,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
30 Days of Night: Dark Days,"['Horror', 'Thriller']",0.5,"hero, vampire, supernatural, based on comic, rivalry, revenge, interrogation, wrist slitting, coughing blood, burnt body, corrupt agent, death of husband, escapade, imaginary, deadly, track down",Ben Ketai,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Babes,['Comedy'],0.6000000000000001,Unknown,Pamela Adlon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sex Game 6969,"['Comedy', 'Drama', 'Romance']",0.44000000000000006,softcore,Mongta,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Couples Retreat,"['Comedy', 'Romance']",0.5552,"island, married couple, tahiti, couples therapy, love, beautiful woman, divorce, divorcee, tropical, aftercreditsstinger, duringcreditsstinger, french polynesia",Peter Billingsley,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Green Lantern: Beware My Power,"['Animation', 'Action', 'Science Fiction', 'Fantasy']",0.68,"superhero, alien planet, fictional war, magical object, super power, ex-marine, superhero team, dcamu (tomorrowverse)",Jeff Wamester,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Kaskasero,['Drama'],0.6000000000000001,"lesbian relationship, lesbian, sexy, lgbtq",Ludwig Peralta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sting,"['Horror', 'Science Fiction', 'Thriller']",0.6274000000000001,"spider, giant spider, meteor, alien, creature, corpse, apartment building, exterminator, creature feature, dollhouse, deadly creature, arachnophobia, mutant spider, pet owner, pet monster, poisonous spider, broken window, spider venom, deadly pet, pet spider, arachnid, air vent, crawling in air vent",Kiah Roache-Turner,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
Attack,"['Action', 'Science Fiction', 'Thriller']",0.67,"artificial intelligence (a.i.), post-traumatic stress disorder (ptsd), delhi, india, prime minister, hostage-taking, parliament, super soldier, cyberpunk, soldier, erased memory, terrorist attack, genetic engineering, indian army, death of girlfriend, 2010s, mumbai, military sci-fi, islamic terrorism, 2020s",Lakshya Raj Anand,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
